Date,Open,High,Low,Close,Adj Close,Volume
03-07-2023,34,34.25,33.5,33.950001,33.950001,396665
04-07-2023,33.950001,34.200001,33.549999,33.849998,33.849998,326317
05-07-2023,33.900002,34.099998,33.599998,33.75,33.75,250310
06-07-2023,34,34.799999,33.700001,33.900002,33.900002,488086
07-07-2023,33.75,34.200001,33.299999,33.400002,33.400002,594191
10-07-2023,33.450001,33.5,32.700001,33,33,408221
11-07-2023,32.799999,33.599998,32.799999,33.049999,33.049999,435677
12-07-2023,33.5,34.450001,33.099998,33.849998,33.849998,898754
13-07-2023,33.950001,34.099998,32.25,32.549999,32.549999,1507647
14-07-2023,32.75,34.75,32.599998,34.099998,34.099998,1835055
17-07-2023,34.299999,35.450001,34.200001,34.900002,34.900002,1486434
18-07-2023,35.049999,35.349998,34.049999,34.349998,34.349998,604977
19-07-2023,34.299999,34.900002,34.299999,34.549999,34.549999,367169
20-07-2023,34.650002,35.349998,34.150002,34.75,34.75,595217
21-07-2023,34,34.700001,34,34.099998,34.099998,342449
24-07-2023,34.400002,34.900002,34.099998,34.299999,34.299999,571089
25-07-2023,34.25,35.349998,33.75,33.849998,33.849998,879047
26-07-2023,34.099998,34.450001,33.900002,34.25,34.25,318406
27-07-2023,34.450001,34.599998,33.900002,34,34,338658
28-07-2023,34.200001,34.400002,33.049999,33.25,33.25,717628
31-07-2023,33.299999,36.799999,32.75,34.799999,34.799999,2803615
01-08-2023,35.299999,35.799999,34.599998,34.950001,34.950001,999780
02-08-2023,35.049999,35.349998,34,34.349998,34.349998,538227
03-08-2023,34.450001,34.549999,33.849998,34.150002,34.150002,336080
04-08-2023,34.25,34.549999,34,34.049999,34.049999,424528
07-08-2023,33.849998,34.349998,33.700001,33.950001,33.950001,321740
08-08-2023,34.299999,34.299999,33.75,33.849998,33.849998,232480
09-08-2023,33.849998,34,33.099998,33.349998,33.349998,466221
10-08-2023,33.450001,33.75,32.700001,33,33,699311
11-08-2023,33.150002,33.650002,32.400002,32.599998,32.599998,716122
14-08-2023,32.549999,32.75,31.799999,32.450001,32.450001,375216
16-08-2023,32.400002,32.799999,32.099998,32.25,32.25,294852
17-08-2023,32.450001,32.599998,32,32.200001,32.200001,273097
18-08-2023,32.25,32.799999,32,32.25,32.25,375572
21-08-2023,32.25,32.599998,32,32.200001,32.200001,422379
22-08-2023,32.400002,32.950001,32.349998,32.700001,32.700001,532768
23-08-2023,32.650002,33.450001,32.5,32.599998,32.599998,529877
24-08-2023,32.849998,33.299999,32.700001,32.799999,32.799999,370069
25-08-2023,32.700001,32.950001,32.200001,32.5,32.5,342516
28-08-2023,32.700001,33.099998,31.5,31.950001,31.950001,908581
29-08-2023,33.349998,33.349998,32.049999,32.299999,32.299999,476225
30-08-2023,32.400002,33.25,32.400002,32.799999,32.799999,725765
31-08-2023,33.099998,33.450001,32.599998,32.75,32.75,520418
01-09-2023,32.75,33.349998,32.5,32.799999,32.799999,713256
04-09-2023,33,33.700001,33,33.349998,33.349998,862325
05-09-2023,33.599998,40,33.5,40,40,12642826
06-09-2023,41.599998,44.450001,40.200001,41.549999,41.549999,17665350
07-09-2023,41.150002,42.900002,40.299999,40.75,40.75,4060146
08-09-2023,41,41.599998,38.849998,39.150002,39.150002,1631469
11-09-2023,39.599998,40.450001,39.049999,39.200001,39.200001,700312
12-09-2023,39.5,39.5,34.549999,36.299999,36.299999,1686499
13-09-2023,36.349998,37.599998,36.299999,37.25,37.25,573847
14-09-2023,37.549999,38.700001,37.099998,38.150002,38.150002,583979
15-09-2023,38.450001,39.299999,37.799999,38.400002,38.400002,715298
18-09-2023,38.599998,39.450001,37.950001,38.849998,38.849998,589615
20-09-2023,38.799999,39.099998,38.099998,38.299999,38.299999,424918
21-09-2023,38,38.5,37.349998,37.75,37.75,455945
22-09-2023,37.75,40.849998,37.200001,40.349998,40.349998,3269241
25-09-2023,40.799999,41.549999,40.25,41.150002,41.150002,1816791
26-09-2023,41.349998,42.200001,40.349998,40.599998,40.599998,1117494
27-09-2023,41.900002,42.900002,41.049999,41.299999,41.299999,3355944
28-09-2023,41.599998,41.75,40.450001,40.75,40.75,608675
29-09-2023,41,41.150002,40.099998,40.450001,40.450001,549672
03-10-2023,40.599998,42.5,39.650002,41.900002,41.900002,1905972
04-10-2023,41.799999,43.200001,40.799999,41.150002,41.150002,2328453
05-10-2023,41.450001,41.950001,40.650002,41,41,684532
06-10-2023,41.450001,41.799999,40.799999,41.25,41.25,672416
09-10-2023,40.200001,41,39.25,39.400002,39.400002,745651
